ques,label
朱一龙 从前 未识 身后 暖灯 千万盏 皆 非归处 识得 再观 眼前 野径 万 千里 自是 归途 朱一龙,0
有毒 回家 一栋 楼赋 红码 喜提,-1
口罩 不当 杨过,-1
晨曦 月光 感动 致敬 医护人员 期待 靳东 演绎,1
喜欢 等待 显得 浪漫,1
学生宿舍 学生 私有财产 一年 一千多块 钱 住宿费 水电费 不够 交 制定 计划 在座 脑子 这抖 机灵 节奏,-1
拉走 不算 贵阳人,-1
卧槽 四年 前 暗示 成 纽约 方舱医院 真的 可怕 隐喻,-1
很长 一段时间 不上 段时间 微博后 发现 很大 一部分 极端派 香港 第五 波 疫情 累积 死亡 超 万人 数据 广州 疫情 无症状 占 比大 是因为 本来 疫情 高峰 城中村 区域 抗疫 手段 广州 大部份 幼儿 老年人 幸免于难,-1
不准,-1
致敬 平凡 致敬 一位 默默 付出 辛勤 劳动者 没有 没有 火神山雷神山 青年 演员 黄明昊 致敬 平凡 英雄,1
致敬 中国 医生 心 心 心,1
奥特曼,1
曱甴 恶心 透,-1
积 德 致敬 鲜花 鲜花 鲜花,1
不错,1
惊雷 也许 真的 两天 开 发布会 泪,-1
建议 一条 做 不到 心理 明白 有人 做 大厦 倒下,-1
笑,-1
王凯 天使 护航 王凯 天使 护航 云 陪伴 小心 心 小心 心 鲜花 鲜花 王凯,1
香港特区 议会 议员 管浩鸣 指 香港 情况 极 理想 香港 居住面积 大部份 住所 无条件 居家 检疫 等候 送检 期间 全家 中招 港府 短期内 兴建 隔离 中心 未能 容纳 上万 计 患者 紧密 接触 建议 症状 轻微 港人 自愿 情况 送到 内地 指定 地点 治疗 深圳 快速 兴建 方舱医院 隔离 完成 治疗 返港 可减轻 本港 医疗 负担,-1
萌萌 花山,1
新 开了个 话题 写写 影评 嘿嘿,1
热爱 可抵 岁月 漫长 余生 请 多多指教 炙热 坚持下去 前路 未必 光明 坦荡 充满 无限 玖 少年 团肖战,1
好像 少点,-1
咖喱 集体 自杀 事件,-1
外地人 寒心,-1
医师 节 快乐 鲜花,1
加工资 憧憬,1
身上 发冷 阳,-1
伊朗 加油,1
哇哇 哇 联想 加油 中国 加油 武汉 加油,1
图 笑 死 方舱医院 真 忍住 笑 昏 哈哈哈 哈哈哈 哈哈哈 哈哈哈,-1
武汉 官方 回应 网传 火神山医院 相关 信息,0
管管 校园 暴力,-1
太暖心 平安 归来 雷 神山 鸟姐 平安 归来 千玺 真的 温柔,1
好多 戴 普通 口罩 医用 口罩 买不到,-1
真的 严重 支援 努力 跟上 加油,1
上海 基层干部 执行 抗疫 防疫 政策 荒腔 走板 小区 居委会 牛 逼 方舱医院 权威性 不认 核酸 检测 应绿码 通行 建议 彻查,-1
方舱 定点医院 老人 独居 困难 阳性 患者 唯一 去处 有吃有喝 有药 大夫 中国 防疫 加油,1
真的 辛苦,1
百姓 受罪 钱 国家 挣 难 事儿 百姓 受,-1
本来 会笑 我刚 三位 医护人员 跳舞 哭 想到 防护服 里 一个个 鲜活 生动 经历 地方 来会 跳 舞蹈 时代 感动 想象 闪耀 生命力 方舱医院 可贵,1
最美 劳动者,1
您好 嫂子 哥哥 缺个 女盆友 哈哈 哈哈 哈哈,1
社康 医生 扛 平时 疫苗 刷 医保 开药 外 不去 社康 感觉 社康 医生 没有 疹疗 能力 这轮 扛过去 长期 反复 疫情 建议 国家 尽快 保障 布洛芬 泰诺林 口罩 感冒药 药品 供应 老百姓 有药 在手 至少 慌 贫困 群体 发放 救济金 消费 券 不行,-1
棒,1
流 遇见 一世 牵念 回眸 心 自成 暖 安好 便是 晴天 玖 少年 团肖战,1
好好 想想 后遗症 潜伏期,-1
反对 总有 歪理 说,0
中国 力量,1
专家 医护 护工 方舱医院 建筑 团队 就算 屠宰 员 援助,-1
打卡,1
怕 医务人员 付出 血汗 工作 十几个 小时 超出 负荷 吃 不好 喝 不好 睡 不好 治病 治愈 抗体 不能 做 志愿者 医务人员 做点 事情 减少 压力,-1
一周 自愈 大部分 症状 不用 恐慌 记住 做 核酸 检测 不是 治病 好多 做 核酸 得病 恐疫症,-1
白肺 概率 不高 白肺 人数 不高,-1
说 身正 不怕 影子 歪 一是 代表 医院 十字 二是 代表 做 防护 居士 随缘 看清楚 说话,-1
精准 防控 清 干净 测底 失败,-1
当初 方舱医院 真的 温暖 乐观 那位 跳舞 新疆 主任 主动 帮忙 照顾 轻度 患者 乐观 温暖 也许 当初 方舱 建成 时 没想 过会 色调,1
高烧 一幕 现场 凌乱 一名 记者 直播 介绍 西班牙 马德里 方舱医院 红外 体温 检测仪 称 米外 测量 误差 超过 准备 亲自 测试 时 发现 仪器 显示 体温 飙升 摄氏度 不断 发出 警报声,-1
说 真,1
认真 投入 活泼可爱 抗疫 一线 事迹 方舱医院 生机 这是 舞蹈 这是 生命 跃动,1
推广 全世界 火神山雷神山 十来天 盖 测试 站点 做 不到 致敬 图 生气 医护人员 牺牲 中暑 躺 地上 休息 准备 点 行军床 准备 冰块 不行 缺 那点 钱,-1
馋嘴 怀化 联通 湖南 联通 科技 防疫 联通 实力 护航 生命 之舟 呼和浩特 联通 借力 创新 网络 方案 确保 方舱医院 通信 畅通,1
有家 不能 回 上海 基层干部 执行 抗疫 防疫 政策 荒腔 走板 小区 居委会 牛 逼 方舱医院 权威性 不认 核酸 检测 应绿码 通行 建议 彻查,-1
最坏 情况,-1
邢台 宁晋 拉 石家庄,-1
感动,1
推荐 中欧 中医 论坛 讨论 业界 报告 中医 互联网 方式 服务 百姓 走 群众路线 走 中医 方舱医院 家庭 化 路线 传承 中医,1
感谢 八辈 祖宗,1
低调 沉稳 值得 夸夸 憧憬,1
面对 疫情 答案 漂亮 哼,-1
宽度 不止 括 一倍 至少 倍,-1
环境污染,-1
欢迎 四川,1
允悲 心脏 检查 没事,-1
真的 可怜 泪,-1
狮子山 精神 系列 思政课 不辱使命 繁荣 香港 建设祖国 香港 回归祖国 周年 之际 央视网 推出 明珠 耀 香江 狮子山 精神 系列 思政课 本期 节目 邀请 中建 海龙 科技 有限公司 总经理 赵宝军 从港 珠澳 大桥 迪士尼 乐园 香港 儿童医院 抗疫 方舱医院 一个个 建设项目 背后 科技含量 艰辛 付出 繁荣 香港 建设祖国 故事 征途 未来,1
商店 不让 开门 生活 物资 买不到 不是 天天 清水 挂面 电水壶 煮 有人 试过 香,-1
重庆 帅哥 棒棒 哒,1
加油 记得 保护,1
基础性 疾病 方舱 拒收 问题 取决于 拒收 处理 拒收 转运 医院 收治 拒收 退回 小区 不合理 扯 不合理,-1
肖战 公益 一路 苏州 小飞侠 棒棒 心,1
辛苦 爱,1
一代人 努力 中医 一代人,1
三山 政法 中国 中国 中国 中国,1
感谢 医护人员,1
闭嘴,-1
回想起来 确实 容易 昨天下午 张伯礼 院士 走访 武汉 江夏 方舱医院 谈及 重回 方舱医院 感受 张伯礼 亲切 激动 情绪 抑制 不住 说 战斗 地方 没有 苦 正常 回想起来 确实 容易,1
可爱 大白,1
加油 加油 加油 加油 加油 加油,1
钟南山 凉茶 莫言 烧鸡 国家知识产权局 首批 件 实质 审查 阶段 火神 山 雷 神山 钟南山 恶意 商标注册 申请 依法 作出 驳回 名人 名字 注册商标 现象 不是 第一次 外国 乔丹 哈利波 特 中国 莫言 屠 呦 呦 抢注 成 商标 戳 公众 人物 名字 不能 注册 成 商标,-1
真的 无语,-1
谢谢,1
建,-1
症状,-1
武汉 同胞们 加油,1
