省份,province,中立,积极,消极,总和
安徽省,Anhui,112,687,1063,1862
北京市,Beijing,494,1923,5402,7819
重庆市,Chongqing,139,1003,1760,2902
福建省,Fujian,123,825,1183,2131
甘肃省,Gansu,89,540,1039,1668
广东省,Guangdong,616,2548,6202,9366
广西壮族自治区,Guangxi,71,605,803,1479
贵州省,Guizhou,29,358,468,855
海南省,Hainan,35,472,505,1012
河北省,Hebei,193,1137,2342,3672
黑龙江省,Heilongjiang,44,464,636,1144
河南省,Henan,259,1360,2754,4373
湖北省,Hubei,132,783,1486,2401
湖南省,Hunan,171,770,1023,1964
内蒙古自治区,Inner Mongolia,84,603,875,1562
江苏省,Jiangsu,286,1352,2915,4553
江西省,Jiangxi,183,540,964,1687
吉林省,Jilin,51,736,749,1536
辽宁省,Liaoning,115,731,1384,2230
宁夏回族自治区,Ningxia,17,183,285,485
青海省,Qinghai,21,202,411,634
陕西省,Shaanxi,99,739,1584,2422
山东省,Shandong,290,1359,3276,4925
上海市,Shanghai,534,1530,4745,6809
山西省,Shanxi,126,1055,1111,2292
四川省,Sichuan,227,1218,2410,3855
天津市,Tianjin,106,601,1188,1895
西藏自治区,Tibet,17,161,284,462
新疆维吾尔自治区,Xinjiang,394,2161,6219,8774
云南省,Yunnan,70,526,571,1167
浙江省,Zhejiang,257,1233,2406,3896
